cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type,cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,gal_contam,mp_flg,j_h,h_k,j_k,GroupID,GroupSize,Separation
ACT-CLJ0201.6-0211,128.0,168.0,4.800000000000001,3.0,5.0,30.444462810164648,-2.199287768556739,3.347672652228292E-4,9.241726947948337E-4,128.0,168.0,3.0,0.05226073467508318,2.0,5.680955595815845,128.0305174405138,168.53353149676096,2.7213107542088206,6.13714075088501,0.0,1.451510761398822E-4,3602231.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,4.332281024676217
ACT-CLJ0201.6-0211,156.0,171.0,4.800000000000001,3.0,5.0,30.428895784437728,-2.1976212177107164,1.0488123733227518E-4,7.13020570687728E-4,155.99999981682757,171.00000000693197,2.9999995451241803,0.04032035113398612,3.247642264130273,5.659044818123822,155.0765920055147,171.6890804866676,2.4531486148886503,5.749184608459473,0.0,1.344818592770025E-4,4127539.75,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,19.154547,40.428312,30.42556,-2.202621222,30.429013,-2.198571,0.2,0.19,67,02014296-0211548,16.689,0.148,0.148,9.7,15.792,0.135,0.135,10.2,15.06,0.132,0.132,9.5,BBB,222,111,000,260615,0,0,0.897,0.732,1.629,3,9,3.445118506712799
ACT-CLJ0201.6-0211,128.0,168.0,4.800000000000001,3.0,6.0,30.444462810164648,-2.199287768556739,3.347672652228292E-4,9.241726947948337E-4,128.0,168.0,3.0,0.05226073467508318,2.0,5.680955595815845,128.0305174405138,168.53353149676096,2.7213107542088206,6.13714075088501,0.0,1.451510761398822E-4,3602231.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,4.332281024676217
ACT-CLJ0201.6-0211,156.0,171.0,4.800000000000001,3.0,6.0,30.428895784437728,-2.1976212177107164,1.0488123733227518E-4,7.13020570687728E-4,155.99999981682757,171.00000000693197,2.9999995451241803,0.04032035113398612,3.247642264130273,5.659044818123822,155.0765920055147,171.6890804866676,2.4531486148886503,5.749184608459473,0.0,1.344818592770025E-4,4127539.75,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,19.154547,40.428312,30.42556,-2.202621222,30.429013,-2.198571,0.2,0.19,67,02014296-0211548,16.689,0.148,0.148,9.7,15.792,0.135,0.135,10.2,15.06,0.132,0.132,9.5,BBB,222,111,000,260615,0,0,0.897,0.732,1.629,3,9,3.445118506712799
ACT-CLJ0201.6-0211,128.0,168.0,4.800000000000001,3.0,7.0,30.444462810164648,-2.199287768556739,3.347672652228292E-4,9.241726947948337E-4,128.0,168.0,3.0,0.05226073467508318,2.0,5.680955595815845,128.0305174405138,168.53353149676096,2.7213107542088206,6.13714075088501,0.0,1.451510761398822E-4,3602231.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,4.332281024676217
ACT-CLJ0201.6-0211,156.0,171.0,4.800000000000001,3.0,7.0,30.428895784437728,-2.1976212177107164,1.0488123733227518E-4,7.13020570687728E-4,155.99999981682757,171.00000000693197,2.9999995451241803,0.04032035113398612,3.247642264130273,5.659044818123822,155.0765920055147,171.6890804866676,2.4531486148886503,5.749184608459473,0.0,1.344818592770025E-4,4127539.75,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,19.154547,40.428312,30.42556,-2.202621222,30.429013,-2.198571,0.2,0.19,67,02014296-0211548,16.689,0.148,0.148,9.7,15.792,0.135,0.135,10.2,15.06,0.132,0.132,9.5,BBB,222,111,000,260615,0,0,0.897,0.732,1.629,3,9,3.445118506712799
ACT-CLJ0201.6-0211,128.0,168.0,4.0,4.0,5.0,30.444462810164648,-2.199287768556739,3.347672652228292E-4,9.241726947948337E-4,128.0,168.0,3.0,0.05226073467508318,2.0,5.680955595815845,128.0305174405138,168.53353149676096,2.7213107542088206,6.13714075088501,0.0,1.451510761398822E-4,3602231.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,4.332281024676217
ACT-CLJ0201.6-0211,155.0,171.0,4.0,4.0,5.0,30.429451748909106,-2.1976212163670477,1.1055453121741986E-4,8.421528782356515E-4,154.99999998450429,171.00000000285718,2.999999933528011,0.04762262120798289,3.247610894392672,5.6598133100345045,155.08912448632046,171.6999845400277,2.4542908409506663,6.591463088989258,0.0,1.3371897512115538E-4,4153615.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,26.182079,34.908041,30.42556,-2.202621222,30.429725,-2.196657,0.19,0.18,39,02014313-0211479,16.412,0.166,0.166,12.5,15.641,0.168,0.168,11.7,14.977,0.151,0.151,10.2,CCB,222,111,000,565656,0,0,0.771,0.664,1.435,2,5,3.607677125025303
ACT-CLJ0201.6-0211,128.0,168.0,4.0,4.0,6.0,30.444462810164648,-2.199287768556739,3.347672652228292E-4,9.241726947948337E-4,128.0,168.0,3.0,0.05226073467508318,2.0,5.680955595815845,128.0305174405138,168.53353149676096,2.7213107542088206,6.13714075088501,0.0,1.451510761398822E-4,3602231.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,4.332281024676217
ACT-CLJ0201.6-0211,155.0,171.0,4.0,4.0,6.0,30.429451748909106,-2.1976212163670477,1.1055453121741986E-4,8.421528782356515E-4,154.99999998450429,171.00000000285718,2.999999933528011,0.04762262120798289,3.247610894392672,5.6598133100345045,155.08912448632046,171.6999845400277,2.4542908409506663,6.591463088989258,0.0,1.3371897512115538E-4,4153615.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,26.182079,34.908041,30.42556,-2.202621222,30.429725,-2.196657,0.19,0.18,39,02014313-0211479,16.412,0.166,0.166,12.5,15.641,0.168,0.168,11.7,14.977,0.151,0.151,10.2,CCB,222,111,000,565656,0,0,0.771,0.664,1.435,2,5,3.607677125025303
ACT-CLJ0201.6-0211,128.0,168.0,4.0,4.0,7.0,30.444462810164648,-2.199287768556739,3.347672652228292E-4,9.241726947948337E-4,128.0,168.0,3.0,0.05226073467508318,2.0,5.680955595815845,128.0305174405138,168.53353149676096,2.7213107542088206,6.13714075088501,0.0,1.451510761398822E-4,3602231.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,4.332281024676217
ACT-CLJ0201.6-0211,156.0,171.0,6.4,4.0,7.0,30.428895784437728,-2.1976212177107164,1.0488123733227518E-4,7.13020570687728E-4,155.99999981682757,171.00000000693197,2.9999995451241803,0.04032035113398612,3.247642264130273,5.659044818123822,155.0765920055147,171.6890804866676,2.4531486148886503,5.749184608459473,0.0,1.344818592770025E-4,4127539.75,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,19.154547,40.428312,30.42556,-2.202621222,30.429013,-2.198571,0.2,0.19,67,02014296-0211548,16.689,0.148,0.148,9.7,15.792,0.135,0.135,10.2,15.06,0.132,0.132,9.5,BBB,222,111,000,260615,0,0,0.897,0.732,1.629,3,9,3.445118506712799
ACT-CLJ0201.6-0211,128.0,168.0,5.0,5.0,6.0,30.444462810164648,-2.199287768556739,3.347672652228292E-4,9.241726947948337E-4,128.0,168.0,3.0,0.05226073467508318,2.0,5.680955595815845,128.0305174405138,168.53353149676096,2.7213107542088206,6.13714075088501,0.0,1.451510761398822E-4,3602231.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,4.332281024676217
ACT-CLJ0201.6-0211,156.0,171.0,5.0,5.0,6.0,30.428895784437728,-2.1976212177107164,1.0488123733227518E-4,7.13020570687728E-4,155.99999981682757,171.00000000693197,2.9999995451241803,0.04032035113398612,3.247642264130273,5.659044818123822,155.0765920055147,171.6890804866676,2.4531486148886503,5.749184608459473,0.0,1.344818592770025E-4,4127539.75,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,19.154547,40.428312,30.42556,-2.202621222,30.429013,-2.198571,0.2,0.19,67,02014296-0211548,16.689,0.148,0.148,9.7,15.792,0.135,0.135,10.2,15.06,0.132,0.132,9.5,BBB,222,111,000,260615,0,0,0.897,0.732,1.629,3,9,3.445118506712799
ACT-CLJ0201.6-0211,128.0,168.0,5.0,5.0,7.0,30.444462810164648,-2.199287768556739,3.347672652228292E-4,9.241726947948337E-4,128.0,168.0,3.0,0.05226073467508318,2.0,5.680955595815845,128.0305174405138,168.53353149676096,2.7213107542088206,6.13714075088501,0.0,1.451510761398822E-4,3602231.0,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,4.332281024676217
ACT-CLJ0201.6-0211,156.0,171.0,5.0,5.0,7.0,30.428895784437728,-2.1976212177107164,1.0488123733227518E-4,7.13020570687728E-4,155.99999981682757,171.00000000693197,2.9999995451241803,0.04032035113398612,3.247642264130273,5.659044818123822,155.0765920055147,171.6890804866676,2.4531486148886503,5.749184608459473,0.0,1.344818592770025E-4,4127539.75,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,19.154547,40.428312,30.42556,-2.202621222,30.429013,-2.198571,0.2,0.19,67,02014296-0211548,16.689,0.148,0.148,9.7,15.792,0.135,0.135,10.2,15.06,0.132,0.132,9.5,BBB,222,111,000,260615,0,0,0.897,0.732,1.629,3,9,3.445118506712799
ACT-CLJ0201.6-0211,156.0,171.0,6.0,6.0,7.0,30.428895784437728,-2.1976212177107164,1.0488123733227518E-4,7.13020570687728E-4,155.99999981682757,171.00000000693197,2.9999995451241803,0.04032035113398612,3.247642264130273,5.659044818123822,155.0765920055147,171.6890804866676,2.4531486148886503,5.749184608459473,0.0,1.344818592770025E-4,4127539.75,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,19.154547,40.428312,30.42556,-2.202621222,30.429013,-2.198571,0.2,0.19,67,02014296-0211548,16.689,0.148,0.148,9.7,15.792,0.135,0.135,10.2,15.06,0.132,0.132,9.5,BBB,222,111,000,260615,0,0,0.897,0.732,1.629,3,9,3.445118506712799
ACT-CLJ0201.6-0211,127.0,168.0,6.0,6.0,7.0,30.445018775197955,-2.1992877614195963,3.4432011850966715E-4,9.415306793025904E-4,127.00000009641086,168.00000003397494,2.999998651652587,0.05324225771466977,3.2477281345047437,5.636314703743963,128.00336669429612,168.55424097309788,2.733328730927634,5.909770488739014,0.0,1.455936871934682E-4,3524724.5,1,ACT-CLJ0201.6-0211,1.737831322086E-4,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,3.520084204438373
ACT-CLJ0204.5+0321,196.0,98.0,2.0,2.0,3.0,31.122501532817573,3.325144636128705,7.026954803697734E-4,0.0043682248348792425,195.99999967280175,97.99999905209437,2.999994971492943,0.24701646682395234,3.3545047357162576,16.781491220990812,196.2097301230257,98.12021851123588,2.787873154999812,19.27762794494629,0.0,2.1955919510219246E-4,1176138.5,7,ACT-CLJ0204.5+0321,1.516822330707E-4,0.9898698379831096,-0.0257914111377305,0.0019059781003116,2870.7950319973343,0.0537853979112755,1.087884164913207,20.0,8,143.082639,-150.086131,31.14142227,3.360700369,31.121568,3.32625,0.08,0.06,90,02042917+0319345,15.672,0.078,0.079,20.8,14.983,0.096,0.097,18.0,14.344,0.078,0.078,18.4,AAA,222,111,000,665656,0,0,0.689,0.639,1.328,4,15,5.204932672374764
ACT-CLJ0204.5+0321,196.0,98.0,3.2,2.0,4.0,31.122501532817573,3.325144636128705,7.026954803697734E-4,0.0043682248348792425,195.99999967280175,97.99999905209437,2.999994971492943,0.24701646682395234,3.3545047357162576,16.781491220990812,196.2097301230257,98.12021851123588,2.787873154999812,19.27762794494629,0.0,2.1955919510219246E-4,1176138.5,7,ACT-CLJ0204.5+0321,1.516822330707E-4,0.9898698379831096,-0.0257914111377305,0.0019059781003116,2870.7950319973343,0.0537853979112755,1.087884164913207,20.0,8,143.082639,-150.086131,31.14142227,3.360700369,31.121568,3.32625,0.08,0.06,90,02042917+0319345,15.672,0.078,0.079,20.8,14.983,0.096,0.097,18.0,14.344,0.078,0.078,18.4,AAA,222,111,000,665656,0,0,0.689,0.639,1.328,4,15,5.204932672374764
ACT-CLJ0204.5+0321,196.0,98.0,3.2,2.0,5.0,31.122501532817573,3.325144636128705,7.026954803697734E-4,0.0043682248348792425,195.99999967280175,97.99999905209437,2.999994971492943,0.24701646682395234,3.3545047357162576,16.781491220990812,196.2097301230257,98.12021851123588,2.787873154999812,19.27762794494629,0.0,2.1955919510219246E-4,1176138.5,7,ACT-CLJ0204.5+0321,1.516822330707E-4,0.9898698379831096,-0.0257914111377305,0.0019059781003116,2870.7950319973343,0.0537853979112755,1.087884164913207,20.0,8,143.082639,-150.086131,31.14142227,3.360700369,31.121568,3.32625,0.08,0.06,90,02042917+0319345,15.672,0.078,0.079,20.8,14.983,0.096,0.097,18.0,14.344,0.078,0.078,18.4,AAA,222,111,000,665656,0,0,0.689,0.639,1.328,4,15,5.204932672374764
ACT-CLJ0204.5+0321,196.0,98.0,3.2,2.0,6.0,31.122501532817573,3.325144636128705,7.026954803697734E-4,0.0043682248348792425,195.99999967280175,97.99999905209437,2.999994971492943,0.24701646682395234,3.3545047357162576,16.781491220990812,196.2097301230257,98.12021851123588,2.787873154999812,19.27762794494629,0.0,2.1955919510219246E-4,1176138.5,7,ACT-CLJ0204.5+0321,1.516822330707E-4,0.9898698379831096,-0.0257914111377305,0.0019059781003116,2870.7950319973343,0.0537853979112755,1.087884164913207,20.0,8,143.082639,-150.086131,31.14142227,3.360700369,31.121568,3.32625,0.08,0.06,90,02042917+0319345,15.672,0.078,0.079,20.8,14.983,0.096,0.097,18.0,14.344,0.078,0.078,18.4,AAA,222,111,000,665656,0,0,0.689,0.639,1.328,4,15,5.204932672374764
